Date,Open,High,Low,Close,Adj Close,Volume
2020-09-24,5.870000,6.340000,5.520000,6.230000,6.230000,2400500
2020-09-25,6.220000,6.490000,6.070000,6.160000,6.160000,2091100
2020-09-28,6.300000,6.360000,5.960000,6.000000,6.000000,1368300
2020-09-29,6.040000,6.090000,5.860000,5.910000,5.910000,909200
2020-09-30,5.990000,6.120000,5.760000,5.940000,5.940000,1190200
2020-10-01,5.980000,6.100000,5.900000,6.000000,6.000000,990300
2020-10-02,5.950000,6.280000,5.890000,6.240000,6.240000,1636400
2020-10-05,6.270000,6.300000,6.040000,6.200000,6.200000,1122200
2020-10-06,6.240000,6.710000,6.200000,6.700000,6.700000,2930900
2020-10-07,6.740000,6.950000,6.570000,6.740000,6.740000,2623400
2020-10-08,6.750000,7.250000,6.750000,7.120000,7.120000,2553900
2020-10-09,7.160000,7.590000,7.160000,7.470000,7.470000,1965600
2020-10-13,7.510000,8.040000,7.510000,7.990000,7.990000,2797700
2020-10-14,8.000000,9.030000,7.940000,9.030000,9.030000,3654000
2020-10-15,8.830000,8.880000,7.950000,8.530000,8.530000,3395300
2020-10-16,8.560000,9.440000,8.550000,9.250000,9.250000,4460600
2020-10-19,9.350000,9.840000,8.620000,9.000000,9.000000,4890700
2020-10-20,9.000000,9.440000,8.960000,9.040000,9.040000,2669200
2020-10-21,9.000000,9.210000,8.740000,8.780000,8.780000,1811500
2020-10-22,8.820000,8.980000,8.370000,8.590000,8.590000,2104200
2020-10-23,8.690000,9.950000,8.610000,9.860000,9.860000,3882500
2020-10-26,9.710000,9.930000,9.220000,9.600000,9.600000,3063900
2020-10-27,9.610000,11.390000,9.610000,10.900000,10.900000,9118800
2020-10-28,10.250000,11.170000,9.840000,10.310000,10.310000,6410400
2020-10-29,10.680000,11.140000,9.900000,10.120000,10.120000,6646800
2020-10-30,10.250000,10.290000,9.290000,9.310000,9.310000,3119300
2020-11-03,9.900000,11.350000,9.700000,10.990000,10.990000,8490700
2020-11-04,11.770000,12.420000,10.950000,11.350000,11.350000,7477000
2020-11-05,11.860000,11.860000,11.020000,11.470000,11.470000,4402800
2020-11-06,11.320000,12.890000,11.130000,12.690000,12.690000,9350300
2020-11-09,13.250000,13.610000,12.270000,12.480000,12.480000,4911000
2020-11-10,12.450000,12.750000,11.650000,12.270000,12.270000,3943700
2020-11-11,12.270000,12.270000,11.110000,11.430000,11.430000,4735600
2020-11-12,11.420000,12.200000,10.660000,11.980000,11.980000,8533700
2020-11-13,12.180000,12.390000,11.430000,11.590000,11.590000,4741900
2020-11-16,11.650000,11.820000,11.150000,11.240000,11.240000,2689900
2020-11-17,11.170000,11.620000,10.830000,11.350000,11.350000,3705500
2020-11-18,11.440000,11.800000,11.050000,11.390000,11.390000,3567200
2020-11-19,11.390000,11.850000,11.260000,11.500000,11.500000,2865500
2020-11-23,11.880000,13.340000,11.710000,13.060000,13.060000,8286800
2020-11-24,13.070000,13.550000,12.420000,12.630000,12.630000,4528000
2020-11-25,12.510000,14.770000,12.510000,14.550000,14.550000,10141400
2020-11-26,14.550000,16.799999,14.500000,15.080000,15.080000,9575600
2020-11-27,15.390000,16.250000,14.920000,15.150000,15.150000,4639200
2020-11-30,15.380000,15.800000,14.430000,14.710000,14.710000,3903500
2020-12-01,15.010000,16.230000,14.630000,16.100000,16.100000,6214400
2020-12-02,16.129999,17.549999,15.580000,17.240000,17.240000,6108100
2020-12-03,17.500000,17.709999,16.730000,16.940001,16.940001,5375100
2020-12-04,17.160000,17.500000,16.770000,16.920000,16.920000,3842300
2020-12-07,17.330000,17.330000,16.059999,16.450001,16.450001,3444800
2020-12-08,16.469999,18.150000,16.360001,18.000000,18.000000,7559900
2020-12-09,18.110001,18.480000,17.350000,17.790001,17.790001,4586100
2020-12-10,17.450001,17.549999,14.750000,15.330000,15.330000,10134900
2020-12-11,14.500000,16.799999,14.010000,15.530000,15.530000,10453600
2020-12-14,15.750000,16.309999,15.170000,15.340000,15.340000,3783100
2020-12-15,15.340000,15.640000,14.280000,14.720000,14.720000,4743700
2020-12-16,14.760000,14.960000,13.740000,13.960000,13.960000,4659500
2020-12-17,13.990000,14.300000,12.800000,12.950000,12.950000,7113800
2020-12-18,12.890000,14.480000,12.840000,14.110000,14.110000,9318100
2020-12-21,13.760000,14.000000,12.900000,13.300000,13.300000,5250300
2020-12-22,13.590000,13.890000,12.910000,12.960000,12.960000,4261800
2020-12-23,13.320000,13.420000,12.560000,12.710000,12.710000,3661900
2020-12-28,12.690000,13.260000,12.350000,12.820000,12.820000,3394300
2020-12-29,13.110000,13.240000,12.830000,12.860000,12.860000,1976800
2020-12-30,12.860000,13.000000,12.630000,12.650000,12.650000,1353700
2021-01-04,12.780000,13.540000,12.720000,13.110000,13.110000,4130400
2021-01-05,13.110000,13.360000,12.500000,12.700000,12.700000,2981800
2021-01-06,12.790000,13.080000,12.140000,12.280000,12.280000,2433200
2021-01-07,12.320000,13.100000,12.270000,12.720000,12.720000,2764300
2021-01-08,12.800000,12.890000,12.450000,12.680000,12.680000,2470800
2021-01-11,12.540000,13.260000,12.540000,12.760000,12.760000,2461800
2021-01-12,12.890000,13.080000,12.680000,12.740000,12.740000,1945400
2021-01-13,12.760000,12.870000,12.430000,12.430000,12.430000,1344700
2021-01-14,12.490000,12.720000,12.370000,12.500000,12.500000,1514200
2021-01-15,12.500000,12.500000,11.900000,12.000000,12.000000,1983800
2021-01-18,12.010000,12.440000,11.960000,12.050000,12.050000,1288100
2021-01-19,12.130000,12.220000,11.550000,11.600000,11.600000,1610400
2021-01-20,11.640000,13.300000,11.570000,13.300000,13.300000,4180800
2021-01-21,13.720000,14.410000,13.370000,14.100000,14.100000,8570900
2021-01-22,13.780000,14.210000,13.060000,13.920000,13.920000,4156300
2021-01-26,13.910000,14.800000,13.320000,13.520000,13.520000,4871600
2021-01-27,13.580000,13.910000,12.410000,12.650000,12.650000,3826400
2021-01-28,12.630000,13.010000,12.160000,12.780000,12.780000,2141700
2021-01-29,12.600000,13.300000,12.390000,12.660000,12.660000,2011200
2021-02-01,12.890000,13.100000,12.660000,13.100000,13.100000,1455200
2021-02-02,13.200000,13.450000,13.110000,13.240000,13.240000,1120600
2021-02-03,13.390000,13.420000,13.030000,13.250000,13.250000,1197600
2021-02-04,13.310000,13.340000,12.960000,12.960000,12.960000,855800
2021-02-05,13.040000,13.150000,12.820000,13.000000,13.000000,824200
2021-02-08,13.000000,14.240000,12.860000,13.290000,13.290000,2984900
2021-02-09,13.290000,13.380000,12.930000,13.320000,13.320000,1462700
2021-02-10,13.380000,13.580000,12.820000,12.860000,12.860000,1102000
2021-02-11,12.860000,13.100000,12.510000,12.690000,12.690000,900200
2021-02-12,12.700000,12.750000,12.440000,12.550000,12.550000,757500
2021-02-18,12.600000,12.610000,12.000000,12.100000,12.100000,708300
